run,step,cfg_scale,fid
imagenet64_direct_riesz_no_support_const_lr_ps_1,10000,2.0,41.53655042461588
imagenet64_direct_riesz_no_support_const_lr_ps_1,20000,2.0,36.11237101450894
imagenet64_direct_riesz_no_support_const_lr_ps_1,30000,2.0,33.98506215883663
imagenet64_direct_riesz_no_support_const_lr_ps_1,40000,2.0,33.058270685940386
imagenet64_direct_riesz_no_support_const_lr_ps_1,50000,2.0,32.49491788149686
imagenet64_drifting_150k_mingyuan_const_ps_1,10000,2.0,42.03748820821943
imagenet64_drifting_150k_mingyuan_const_ps_1,20000,2.0,36.687513095388056
imagenet64_drifting_150k_mingyuan_const_ps_1,30000,2.0,34.62717041238221
imagenet64_riesz_fresh_support_mingyuan_const_ps_1,10000,2.0,41.22458773732308
imagenet64_riesz_fresh_support_mingyuan_const_ps_1,20000,2.0,35.69384871890958
imagenet64_riesz_fresh_support_mingyuan_const_ps_1,30000,2.0,33.81488574749187
imagenet64_riesz_fresh_support_mingyuan_const_ps_1,40000,2.0,32.71665092878601
imagenet64_riesz_fresh_support_mingyuan_const_ps_1,50000,2.0,31.999390254223215
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,10000,2.0,36.9970379569628
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,20000,2.0,33.15266846903671
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,30000,2.0,31.3112220086893
imagenet64_riesz_frozen_velocity_rms_ps_1,10000,2.0,41.027702927814516
imagenet64_riesz_frozen_velocity_rms_ps_1,20000,2.0,35.150679218498
imagenet64_riesz_frozen_velocity_rms_ps_1,30000,2.0,33.33984049301637
imagenet64_riesz_frozen_velocity_rms_ps_1,40000,2.0,32.22750966284559
imagenet64_riesz_frozen_velocity_rms_ps_1,50000,2.0,31.577072029615636
imagenet64_riesz_frozen_velocity_rms_ps_1,60000,2.0,30.769590331644793
imagenet64_riesz_frozen_velocity_rms_ps_1,70000,2.0,30.173601375114515
imagenet64_riesz_saved_support_mingyuan_const_ps_1,10000,2.0,61.862579544402706
imagenet64_riesz_saved_support_mingyuan_const_ps_1,20000,2.0,44.963929958992196
imagenet64_riesz_saved_support_mingyuan_const_ps_1,30000,2.0,39.622811048360745
imagenet64_riesz_saved_support_mingyuan_const_ps_1,40000,2.0,35.81851714397175
imagenet64_riesz_saved_support_mingyuan_const_ps_1,50000,2.0,33.728758937448504
imagenet64_riesz_saved_support_mingyuan_const_ps_1,60000,2.0,32.97246271998182
imagenet64_riesz_saved_support_mingyuan_const_ps_1,70000,2.0,31.94454644826527
imagenet64_riesz_saved_support_mingyuan_const_ps_1,80000,2.0,31.075792998688144
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,90000,2.0,24.00958209093824
imagenet64_sinkhorn_150k_mingyuan_const_ps_1,100000,2.0,23.74870477672556
imagenet64_sinkhorn_150k_mingyuan_ps_1,90000,2.0,28.452883596714344
imagenet64_sliced_riesz_fresh_support_lr4e4_mingyuan_const_ps_1,10000,2.0,37.32154176600329
imagenet64_sliced_riesz_fresh_support_lr4e4_mingyuan_const_ps_1,20000,2.0,33.111321683984215
imagenet64_sliced_riesz_fresh_support_lr4e4_mingyuan_const_ps_1,30000,2.0,31.544243611630293
imagenet64_sliced_riesz_fresh_support_lr4e4_mingyuan_const_ps_1,40000,2.0,30.381892306327984
imagenet64_sliced_riesz_fresh_support_mingyuan_const_ps_1,10000,2.0,41.53250269897734
imagenet64_sliced_riesz_fresh_support_mingyuan_const_ps_1,20000,2.0,35.56146541502312
imagenet64_sliced_riesz_fresh_support_mingyuan_const_ps_1,30000,2.0,33.3600110925305
imagenet64_sliced_riesz_fresh_support_mingyuan_const_ps_1,40000,2.0,32.29892541107495
imagenet64_sliced_riesz_fresh_support_mingyuan_const_ps_1,50000,2.0,31.383846192729777
imagenet64_sliced_riesz_fresh_support_mingyuan_const_ps_1,60000,2.0,30.834488320304615
imagenet64_sliced_riesz_fresh_support_mingyuan_const_ps_1,70000,2.0,30.56540616733389
imagenet64_sliced_riesz_fresh_support_mingyuan_const_ps_1,80000,2.0,29.90266738623359
imagenet64_sliced_riesz_fresh_support_mingyuan_const_ps_1,90000,2.0,29.640501946386166
imagenet64_sliced_riesz_frozen_velocity_rms_lr4e4_ps_1,10000,2.0,41.41617558400344
imagenet64_sliced_riesz_frozen_velocity_rms_lr4e4_ps_1,20000,2.0,36.10728396858417
imagenet64_sliced_riesz_frozen_velocity_rms_lr4e4_ps_1,30000,2.0,33.89737530208413
imagenet64_sliced_riesz_frozen_velocity_rms_lr4e4_ps_1,40000,2.0,32.662467830248545
imagenet64_sliced_riesz_frozen_velocity_rms_ps_1,10000,2.0,45.33645086985672
imagenet64_sliced_riesz_frozen_velocity_rms_ps_1,20000,2.0,38.692119646801984
imagenet64_sliced_riesz_frozen_velocity_rms_ps_1,30000,2.0,36.08271241775452
imagenet64_sliced_riesz_frozen_velocity_rms_ps_1,40000,2.0,34.8562309046053
imagenet64_sliced_riesz_frozen_velocity_rms_ps_1,50000,2.0,33.73296591743485
