run,step,training_hours,cfg_scale,fid
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,120000,49.683469612165894,2.5,25.76426719619326
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,130000,53.82375874651305,2.5,25.5579069114832
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,10000,4.397799028762381,2.0,36.33721754302462
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,20000,8.795598057524762,2.0,32.45360113629653
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,30000,13.193397086287142,2.0,31.002423526891732
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,40000,17.591196115049524,2.0,30.267073678766792
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,50000,21.988995143811906,2.0,29.750881957402953
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,60000,26.386794172574284,2.0,29.34142515045835
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,70000,30.784593201336666,2.0,28.968063356318794
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,80000,35.18239223009905,2.0,28.44963745485711
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,90000,39.580191258861426,2.0,28.358781392418848
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,100000,43.97799028762381,2.0,28.366735442033985
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,10000,4.397799028762381,2.5,34.2744263698134
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,20000,8.795598057524762,2.5,30.321436646506868
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,30000,13.193397086287142,2.5,29.015129660679918
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,40000,17.591196115049524,2.5,28.22466103363348
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,50000,21.988995143811906,2.5,27.691167337233196
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,60000,26.386794172574284,2.5,27.17121908703308
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,70000,30.784593201336666,2.5,26.698792809179906
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,80000,35.18239223009905,2.5,26.46964419945988
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,90000,39.580191258861426,2.5,26.38344264190397
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,100000,43.97799028762381,2.5,26.029958420660535
imagenet64_riesz_minyuan_power0p5_top8,10000,,2.0,33.837763239654294
imagenet64_riesz_minyuan_power0p5_top8,20000,,2.0,31.93533271828977
imagenet64_riesz_minyuan_power0p5_top8,30000,,2.0,31.159666227507216
imagenet64_riesz_minyuan_power0p5_top8,40000,,2.0,29.603838597360266
imagenet64_riesz_minyuan_power0p5_top8,50000,,2.0,29.18271351685388
imagenet64_riesz_minyuan_power0p5_top8,60000,,2.0,28.716680959805615
imagenet64_riesz_minyuan_power0p5_top8,70000,,2.0,28.877832375332446
imagenet64_riesz_minyuan_power0p5_top8,80000,,2.0,28.50666672640432
imagenet64_riesz_minyuan_power0p5_top8,10000,,2.5,31.519779586943855
imagenet64_riesz_minyuan_power0p5_top8,20000,,2.5,28.828322877850326
imagenet64_riesz_minyuan_power0p5_top8,30000,,2.5,28.06218819801842
imagenet64_riesz_minyuan_power0p5_top8,40000,,2.5,26.26018357663628
imagenet64_riesz_minyuan_power0p5_top8,50000,,2.5,25.762473140056045
imagenet64_riesz_minyuan_power0p5_top8,60000,,2.5,25.54869395712734
imagenet64_riesz_minyuan_power0p5_top8,70000,,2.5,25.50195043094402
imagenet64_riesz_minyuan_power0p5_top8,80000,,2.5,25.137547494827686
imagenet64_riesz_minyuan_power1p0_top16,10000,,2.0,33.66399810306439
imagenet64_riesz_minyuan_power1p0_top16,20000,,2.0,30.29407642726028
imagenet64_riesz_minyuan_power1p0_top16,30000,,2.0,28.846506273510386
imagenet64_riesz_minyuan_power1p0_top16,10000,,2.5,31.536705506648445
imagenet64_riesz_minyuan_power1p0_top16,20000,,2.5,27.845546714853185
imagenet64_riesz_minyuan_power1p0_top16,30000,,2.5,26.325121850470623
imagenet64_riesz_minyuan_power1p0_top8,10000,,2.0,31.099469830691135
imagenet64_riesz_minyuan_power1p0_top8,20000,,2.0,27.575491810734206
imagenet64_riesz_minyuan_power1p0_top8,30000,,2.0,26.075409068744705
imagenet64_riesz_minyuan_power1p0_top8,40000,,2.0,25.54031227419364
imagenet64_riesz_minyuan_power1p0_top8,50000,,2.0,24.842270323414766
imagenet64_riesz_minyuan_power1p0_top8,60000,,2.0,24.40568102541272
imagenet64_riesz_minyuan_power1p0_top8,70000,,2.0,24.02069641359384
imagenet64_riesz_minyuan_power1p0_top8,80000,,2.0,23.59282243423985
imagenet64_riesz_minyuan_power1p0_top8,10000,,2.5,29.63048143824153
imagenet64_riesz_minyuan_power1p0_top8,20000,,2.5,25.78255993800144
imagenet64_riesz_minyuan_power1p0_top8,30000,,2.5,24.1025066895819
imagenet64_riesz_minyuan_power1p0_top8,40000,,2.5,23.461778906149505
imagenet64_riesz_minyuan_power1p0_top8,50000,,2.5,22.843053138270932
imagenet64_riesz_minyuan_power1p0_top8,60000,,2.5,22.37472483348762
imagenet64_riesz_minyuan_power1p0_top8,70000,,2.5,22.159119500939255
imagenet64_riesz_minyuan_power1p0_top8,80000,,2.5,21.828347982370076
imagenet64_riesz_minyuan_power_top20,10000,,2.0,37.49505527908008
imagenet64_riesz_minyuan_power_top20,20000,,2.0,34.17146410121438
imagenet64_riesz_minyuan_power_top20,30000,,2.0,32.744379753263956
imagenet64_riesz_minyuan_power_top20,40000,,2.0,31.807914050595514
imagenet64_riesz_minyuan_power_top20,50000,,2.0,31.33811824309214
imagenet64_riesz_minyuan_power_top20,60000,,2.0,30.65741336361333
imagenet64_riesz_minyuan_power_top20,70000,,2.0,30.378526901480996
imagenet64_riesz_minyuan_power_top20,10000,,2.5,35.13300872427885
imagenet64_riesz_minyuan_power_top20,20000,,2.5,31.78918482974501
